Division,Weight Class,Lift,Name,Kilos,Pounds,Date,Location,Event,Status,HasRecord
MASTER MEN 60 TO 64,110kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,110kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,110kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,125kg/275lb,Squat,Dale Lewis,107.5,236.99,04/29/2017,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 60 TO 64,125kg/275lb,Bench,Dale Lewis,85.0,187.39,04/29/2017,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 60 TO 64,125kg/275lb,Deadlift,Dale Lewis,167.5,369.27,04/29/2017,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 60 TO 64,125kg/275lb,TOTAL,Dale Lewis,360.0,793.66,04/29/2017,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 60 TO 64,140kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,140kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,140kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,140kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,140+kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,140+kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,140+kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 60 TO 64,140+kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,52kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,52kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,52kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,52kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,56kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,56kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,56kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,56kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,60kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,60kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,60kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,60kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,67.5kg/148.7lb,Squat,Keith Malcuit,87.5,192.9,2024-09-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,67.5kg/148.7lb,Bench,Keith Malcuit,60.0,132.28,2024-09-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,67.5kg/148.7lb,Deadlift,Keith Malcuit,137.5,303.14,2024-09-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,67.5kg/148.7lb,TOTAL,Keith Malcuit,285.0,628.32,2024-09-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,75kg/165.2lb,Squat,John Fuller,140.0,308.6,09/17/2022,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,75kg/165.2lb,Bench,John Fuller,95.0,209.44,05/04/2024,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,75kg/165.2lb,Deadlift,John Fuller,172.5,380.3,05/04/2024,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,75kg/165.2lb,TOTAL,John Fuller,400.0,881.85,05/04/2024,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,82.5kg/181.7lb,Squat,John Fuller,140.0,308.6,04/15/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,82.5kg/181.7lb,Bench,John Fuller,100.0,220.5,04/23/2022,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,82.5kg/181.7lb,Deadlift,John Fuller,170.0,374.8,04/15/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,82.5kg/181.7lb,TOTAL,John Fuller,407.5,898.4,04/15/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,90kg/198.2lb,Squat,Gregory  Hullinger,147.5,325.2,09/06/2020,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,90kg/198.2lb,Bench,Gregory  Hullinger,102.5,226.0,11/09/2019,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,90kg/198.2lb,Deadlift,Gregory  Hullinger,170.0,374.8,11/09/2019,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,90kg/198.2lb,TOTAL,Gregory  Hullinger,422.5,931.5,09/06/2020,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,100kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,100kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,100kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,100kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,110kg/242lb,Squat,Thomas Cathcart,125.0,275.58,2025-10-04,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,110kg/242lb,Bench,Thomas Cathcart,102.5,225.97,2025-10-04,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,110kg/242lb,Deadlift,Thomas Cathcart,152.5,336.2,2025-10-04,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,110kg/242lb,TOTAL,Thomas Cathcart,380.0,837.76,2025-10-04,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 65 TO 69,125kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,125kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,125kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,125kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,140kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,140kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,140kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,140kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,140+kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,140+kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,140+kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 65 TO 69,140+kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,52kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,52kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,52kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,52kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,56kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,56kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,56kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,56kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,60kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,60kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,60kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,60kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,67.5kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,67.5kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,67.5kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,67.5kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,75kg/165.2lb,Squat,John Fuller,120.0,264.55,2025-09-20,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 70 TO 74,75kg/165.2lb,Bench,John Fuller,95.0,209.44,2025-09-20,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 70 TO 74,75kg/165.2lb,Deadlift,John Fuller,155.0,341.72,2025-09-20,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 70 TO 74,75kg/165.2lb,TOTAL,John Fuller,370.0,815.71,2025-09-20,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 70 TO 74,82.5kg/181.7lb,Squat,Gregory Hullinger,130.0,286.6,2024-09-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 70 TO 74,82.5kg/181.7lb,Bench,Gregory Hullinger,95.0,209.44,2024-09-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 70 TO 74,82.5kg/181.7lb,Deadlift,Gregory Hullinger,152.5,336.2,2024-09-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 70 TO 74,82.5kg/181.7lb,TOTAL,Gregory Hullinger,377.5,832.24,2024-09-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 70 TO 74,90kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,90kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,90kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,90kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,100kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,100kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,100kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,100kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,110kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,110kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,110kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,110kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,125kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,125kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,125kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,125kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,140kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,140kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,140kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,140kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,140+kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,140+kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,140+kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 70 TO 74,140+kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,52kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,52kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,52kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,52kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,56kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,56kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,56kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,56kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,60kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,60kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,60kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,60kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,67.5kg/148.7lb,Squat,Lawrence Edwards,65.0,143.3,2025-08-23,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,67.5kg/148.7lb,Bench,Lawrence Edwards,65.0,143.3,2025-08-23,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,67.5kg/148.7lb,Deadlift,Lawrence Edwards,105.0,231.49,2025-08-23,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,67.5kg/148.7lb,TOTAL,Lawrence Edwards,235.0,518.09,2025-08-23,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,75kg/165.2lb,Squat,Barry Hunlock,80.0,176.4,09/16/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,75kg/165.2lb,Bench,Barry Hunlock,68.0,149.9,09/16/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,75kg/165.2lb,Deadlift,Barry Hunlock,115.0,253.5,09/16/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,75kg/165.2lb,TOTAL,Barry Hunlock,263.0,579.8,09/16/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,82.5kg/181.7lb,Squat,Barry Hunlock,90.0,198.42,06/24/2024,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,82.5kg/181.7lb,Bench,Barry Hunlock,72.5,159.8,07/12/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,82.5kg/181.7lb,Deadlift,Barry Hunlock,122.5,270.1,07/12/2023,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,82.5kg/181.7lb,TOTAL,Barry Hunlock,285.0,628.32,06/24/2024,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,90kg/198.2lb,Squat,Barry Hunlock,92.5,203.93,2025-07-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,90kg/198.2lb,Bench,Barry Hunlock,72.5,159.83,2025-07-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,90kg/198.2lb,Deadlift,Barry Hunlock,125.0,275.58,2025-07-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,90kg/198.2lb,TOTAL,Barry Hunlock,290.0,639.34,2025-07-07,ohio,raw-powerlifting,drug-tested,True
MASTER MEN 75 TO 79,100kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,100kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,100kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,100kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,110kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,110kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,110kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,110kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,125kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,125kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,125kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,125kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,140kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,140kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,140kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,140kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,140+kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,140+kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,140+kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER MEN 75 TO 79,140+kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,44kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,44kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,44kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,44kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,48kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,48kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,48kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,48kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,52kg/114.5lb,Squat,Shannon Castiglione,85.0,187.4,07/11/2019,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,52kg/114.5lb,Bench,Rachel Rector,55.0,121.25,08/17/2024,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,52kg/114.5lb,Deadlift,Shannon Castiglione,122.5,270.1,07/11/2019,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,52kg/114.5lb,TOTAL,Shannon Castiglione,255.0,562.2,07/11/2019,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,56kg/123.5lb,Squat,Lauren Rutan,140.0,308.65,05/04/2024,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,56kg/123.5lb,Bench,Lauren Rutan,77.5,170.86,05/04/2024,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,56kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,56kg/123.5lb,TOTAL,Lauren Rutan,350.0,771.62,05/04/2024,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,60kg/132.2lb,Squat,Evelyn Stannard,90.0,198.4,10/01/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,60kg/132.2lb,Bench,Alexis Jackson,60.0,132.3,09/11/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,60kg/132.2lb,Deadlift,Alexis Jackson,120.0,264.6,09/11/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,60kg/132.2lb,TOTAL,Alexis Jackson,255.0,562.2,09/11/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,67.5kg/148.7lb,Squat,Jessica Budd,157.5,347.2,10/17/2021,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,67.5kg/148.7lb,Bench,Jessica Budd,85.0,187.4,10/17/2021,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,67.5kg/148.7lb,Deadlift,Jessica Budd,182.5,402.3,10/17/2021,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,67.5kg/148.7lb,TOTAL,Jessica Budd,425.0,937.0,10/17/2021,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,75kg/165.2lb,Squat,Theresa Garee,122.5,270.1,04/15/2023,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,75kg/165.2lb,Bench,Theresa Garee,80.0,176.4,04/15/2023,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,75kg/165.2lb,Deadlift,Theresa Garee,150.0,330.7,04/15/2023,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,75kg/165.2lb,TOTAL,Theresa Garee,352.5,777.1,04/15/2023,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,82.5kg/181.7lb,Squat,Rachel Hosler,140.0,308.65,2025-09-20,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,82.5kg/181.7lb,Bench,Jolene Santee,77.5,170.9,11/10/2018,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,82.5kg/181.7lb,Deadlift,Rachel Hosler,157.5,347.23,2025-09-20,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,82.5kg/181.7lb,TOTAL,Rachel Hosler,365.0,804.69,2025-09-20,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,90kg/198.2lb,Squat,Jolene Santee,142.5,314.2,10/25/2019,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,90kg/198.2lb,Bench,Jolene Santee,92.5,203.9,07/12/2019,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,90kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,90kg/198.2lb,TOTAL,Jolene Santee,407.5,898.4,07/12/2019,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,100kg/220lb,Squat,Brooke Lagrasso,130.0,286.6,09/11/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,100kg/220lb,Bench,Brooke Lagrasso,77.5,170.9,09/11/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,100kg/220lb,Deadlift,Brooke Lagrasso,197.5,435.4,09/11/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,100kg/220lb,TOTAL,Brooke Lagrasso,405.0,892.9,09/11/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,110kg/242lb,Squat,Crystal Duplay,130.0,286.6,2025-09-20,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,110kg/242lb,Bench,Jamie Mallia,80.0,176.37,2024-11-17,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,110kg/242lb,Deadlift,Brooke Lagrasso,190.0,418.9,02/26/2023,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,110kg/242lb,TOTAL,Brooke Lagrasso,382.5,843.3,02/26/2023,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 40 TO 44,110+kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,110+kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,110+kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 40 TO 44,110+kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 45 TO 49,44kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 45 TO 49,44kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 45 TO 49,44kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 45 TO 49,44kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 45 TO 49,48kg/105.7lb,Squat,Allison Taylor,52.5,115.7,11/10/2018,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 45 TO 49,48kg/105.7lb,Bench,Allison Taylor,30.0,66.1,11/10/2018,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 45 TO 49,48kg/105.7lb,Deadlift,Allison Taylor,47.5,104.7,11/10/2018,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 45 TO 49,48kg/105.7lb,TOTAL,Allison Taylor,130.0,286.6,11/10/2018,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 45 TO 49,52kg/114.5lb,Squat,Rebecca Simpson,80.0,176.4,04/23/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 45 TO 49,52kg/114.5lb,Bench,Rebecca Simpson,47.5,104.7,04/23/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 45 TO 49,52kg/114.5lb,Deadlift,Rebecca Simpson,112.5,248.0,02/26/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 45 TO 49,52kg/114.5lb,TOTAL,Rebecca Simpson,240.0,529.1,04/23/2022,ohio,raw-powerlifting,drug-tested,True
MASTER WOMEN 45 TO 49,56kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 45 TO 49,56kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
MASTER WOMEN 45 TO 49,56kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
